id,author,recommended,score,is_confirmed,issue_date,purchase_date,votes_yes,votes_no,contents,positives,negatives
8578041,Aleksander,Polecam,5.0,Tak,2018-11-16,2018-11-13,1,1,"Alufelgi raptem o 50% droższe od stalowych, jednak o niebo ładniejsze, lżejsze-mniejsze spalanie","['jakość', 'trwałość', 'wygląd']",
8517343,rootek,Polecam,4.0,Tak,2018-11-05,2018-10-24,0,0,"Felgi wygladaja calkiem ladnie, mam nadzieje ze rowniez w eksploatacji sie sprawdza.","['jakość', 'wygląd']",
8609304,silver1979,Polecam,4.0,Tak,2018-11-23,2018-11-12,0,0,"dopiero co je założyłem to nie mogę nic powiedzieć trwałości produktu, natomiast jakość za te pięniądze ok",,
10921102,Michał.,Polecam,5.0,Tak,2019-08-15,2019-08-06,0,0,"Bardzo ładne felgi, mam nadzieję, że trwałe.",['trwałość'],
4417631,Adam,Polecam,5.0,Tak,2017-02-09,2017-01-24,0,0,"Felgi bardzo ładnie prezentują się na srebrnym aucie, wcale niemałych gabarytów (Galaxy).",,
5210164,Mariusz,Polecam,5.0,Tak,2017-11-10,2017-10-21,0,0,"NIE MAM ZDANIA - 
nowe jest nowe :)","['jakość', 'trwałość', 'wygląd']",
6681931,mac cyl,Polecam,4.0,Tak,2018-03-07,2018-02-27,0,0,dobra jakość w przystępnej cenie,"['jakość', 'trwałość', 'wygląd']",
2258663,kszysiek,Polecam,4.0,Tak,2013-10-08,2013-09-24,0,0,pojeździmy - zobaczymy,['dobra cena'],['jeszcze nie zlokalizowano']
6247492,grzegorz,Polecam,4.5,Tak,2017-11-23,2017-10-30,0,1,bardzo ładne :),"['trwałość', 'wygląd']",
4283189,AndrzejR76,Polecam,4.5,Tak,2016-12-13,2016-12-05,0,0,Ładne alufelgi w rozsądnej cenie.,,
14041374,w...r,Polecam,5.0,Tak,2021-03-02,2021-02-04,0,0,Fajne felgi w rozsądnej cenie,,
4348574,Elamilca,Polecam,4.5,Tak,2017-01-14,2016-12-29,0,0,Wizualnie ok. ,,
8435130,Radek,Polecam,5.0,Tak,2018-10-12,2018-10-08,0,0,Polecam,,
4546752,Sqcza,Polecam,5.0,Tak,2017-04-05,2016-08-13,0,0,polecam,,
8296914,Robert,Polecam,5.0,Tak,2018-08-29,2018-08-25,0,0,Ok,,
4789405,Zygmunt.,Nie polecam,0.5,Tak,2017-06-25,2017-06-07,0,1,"Brak w sprzedaży. Dowiecie się o tym, jak zaczniecie pytać dlaczego pomimo upłynięcia czasu dostawy nie macie informacji o przesyłce.",,
