id,author,recommendation,score,is_confirmed,issue_date,purchase_date,votes_yes,votes_no,contents,positives,negatives
13816722,m...c,Polecam,5.0,Tak,2021-01-21,2021-01-12,2,0,"To mój pierwszy MacBook. Decyzję o zmianie komputera osobistego z windowsem na komputer z MacOS podjąłem przy okazji kilkumiesięcznego użytkowania flagowego smartfona z androidem i powrocie do iPhone. 
Dostęp do plików, multimediów i danych jest rewelacyjny w połączeniu z iCloud.
Macbook Air M1 jest wykonany z bardzo dobrej jakości materiałów. Jest całkowicie bezgłośny (nie posiada wentylatorów) a przy tym bardzo chłodny. Uważam, że jego cena jest adekwatna do tego co oferuje.
Polecam.","['bateria', 'jakość', 'wydajność', 'wygląd']",
13949214,k...8,Polecam,5.0,Tak,2021-02-12,2021-01-24,1,0,"Pierwszy mój MacBook. Błyskawiczne, precyzyjne, poręczne i po prostu świetne narzędzie do pracy, szczególnie w ekosystemie Apple. Jeśli masz iPhone lub iPada i masz dylemat czy wybrać Windowsa czy Maca, nie powinieneś się zastanawiać, choć nawet bez nich sprzęt jest świetny w użytkowaniu.","['bateria', 'jakość', 'wydajność', 'wygląd']",
13992377,d...m,Polecam,5.0,Tak,2021-02-20,2021-02-10,0,0,"Swietna jakosc, design, uzywanie z innymi produktami Apple jak telefon, zegarek i airpods to czysta przyjemnosc i niesamowita wygoda przesylania danych","['bateria', 'jakość', 'wydajność', 'wygląd']",
13921744,j...a,Polecam,5.0,Tak,2021-02-09,2021-02-01,2,0,Przełomowe rozwiązanie w komputerach przenośnych. Czekam na komp. stacjonarny z chipem M1 - iMac i Pro.,"['bateria', 'jakość', 'wydajność', 'wygląd']",
14036706,v...a,Polecam,5.0,Tak,2021-03-01,2021-02-26,0,0,"Lekki, bardzo atrakcyjnie wizualnie sprzęt. Mam nadzieję, że posłuży mi lata. ","['bateria', 'jakość', 'wydajność', 'wygląd']",
13850631,z...p,Polecam,5.0,Tak,2021-01-27,2021-01-17,0,0,Klasa sama w sobie.  Jakoś oraz praca na systemie to sama przyjemność. ,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13720335,t...i,Polecam,5.0,Tak,2021-01-06,2020-12-27,1,0,"Świetny  sprzęt, bez porównania do konkurencji ","['bateria', 'jakość', 'wydajność', 'wygląd']",
13792211,d...4,Polecam,5.0,Tak,2021-01-18,2020-12-19,0,0,"Mój pierwszy MacBook, jestem bardzo zadowolony z zakupu. ","['bateria', 'jakość', 'wydajność', 'wygląd']",
13776293,p...k,Polecam,5.0,Tak,2021-01-15,2021-01-04,0,0,"Nowy MacBook z procesorem M1, klasa sama w sobie. ","['bateria', 'jakość', 'wydajność', 'wygląd']",
13940870,k...i,Polecam,5.0,Tak,2021-02-11,2021-02-05,0,0,Macbook super się spisuje. Polecam.,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13659877,m...a,Polecam,5.0,Tak,2020-12-28,2020-11-30,0,0,100% pozytyw / perfekcyjna obsługa,,
13806837,r...z,Polecam,5.0,Tak,2021-01-20,2021-01-18,0,0,"Super , polecam każdemu","['bateria', 'jakość', 'wydajność', 'wygląd']",
13724632,m...l,Polecam,4.5,Tak,2021-01-07,2020-12-07,0,0,"zgodnie z ofertą..
",,
13446557,e...1,Polecam,5.0,Tak,2020-11-25,2020-11-20,2,2,Jakość super!!!,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13893631,k...i,Polecam,5.0,Tak,2021-02-03,2021-01-25,0,0,Best Mac ever,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13826808,d...k,Polecam,5.0,Tak,2021-01-23,2021-01-12,0,0,Super,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13818103,j...g,Polecam,5.0,Tak,2021-01-21,2021-01-19,0,0,Super,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13825890,k...d,Polecam,5.0,Tak,2021-01-23,2021-01-20,0,0,ok,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13794003,K...i,Polecam,5.0,Tak,2021-01-18,2021-01-02,0,0,OK,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13430846,j...e,Polecam,5.0,Tak,2020-11-23,2020-11-18,2,3,Suprer!!!,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13670263,m...1,Polecam,5.0,Tak,2020-12-29,2020-12-26,0,4,polecam fajny sprzęt ,,"['bateria', 'jakość', 'wydajność', 'wygląd']"
13393559,Aleksander,Polecam,5.0,Nie,2020-11-17,2020-11-17,4,2,Świetny sprzęt. ,"['bateria', 'jakość', 'wydajność', 'wygląd']",
13992004,b...8,Nie polecam,0.5,Tak,2021-02-20,2021-01-29,0,0,Nie wiem bo czekam od miesiąca ,,
